last_name, first_name,pitcher,ff_avg_speed,last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Akin, Keegan,669211,92,Akin, Keegan,669211,BAL,FF,4-Seamer,-0.7,-7,1011,57.2,231,0.25,0.451,0.331,20,22.1,14.2,0.253,0.487,0.353,43.9
Alcantara, Sandy,645261,98.1,Alcantara, Sandy,645261,MIA,FF,4-Seamer,0.6,4,668,21.6,170,0.234,0.399,0.309,23.3,25.9,17.1,0.24,0.417,0.305,44.3
Alexander, Tyler,641302,90.5,Alexander, Tyler,641302,DET,FF,4-Seamer,-0.2,0,241,14.7,80,0.253,0.427,0.328,16.5,18.8,16.5,0.249,0.517,0.344,43.3
Allard, Kolby,663465,91.5,Allard, Kolby,663465,TEX,FF,4-Seamer,0.1,1,964,46.9,264,0.229,0.445,0.326,18.7,24.2,21.1,0.254,0.47,0.334,42.5
Alzolay, Adbert,640470,94,Alzolay, Adbert,640470,CHC,FF,4-Seamer,0.9,3,361,18.5,67,0.267,0.65,0.408,26.8,23.9,17.8,0.31,0.602,0.412,55.6
Anderson, Ian,666120,94.6,Anderson, Ian,666120,ATL,FF,4-Seamer,-1.3,-13,1025,47.1,246,0.216,0.349,0.287,21.1,21.1,19,0.242,0.409,0.319,40.6
Anderson, Tyler,542881,90.6,Anderson, Tyler,542881,SEA,FF,4-Seamer,-0.1,-1,970,37.3,242,0.254,0.455,0.337,21.7,22.3,16.8,0.265,0.481,0.357,36.4
Bard, Daniel,453268,97.5,Bard, Daniel,453268,COL,FF,4-Seamer,0.5,2,412,33.9,101,0.341,0.524,0.434,23.8,21.8,17.2,0.261,0.423,0.368,45
Barlow, Scott,605130,95.3,Barlow, Scott,605130,KC,FF,4-Seamer,-0.1,-1,405,33.1,103,0.275,0.396,0.338,16.8,11.7,15.8,0.284,0.483,0.37,49.4
Bassitt, Chris,605135,93.2,Bassitt, Chris,605135,OAK,FF,4-Seamer,-1,-4,456,19.2,146,0.194,0.291,0.235,26.7,37,20,0.177,0.268,0.224,32.5
Bauer, Trevor,545333,93.9,Bauer, Trevor,545333,LAD,FF,4-Seamer,-2,-14,719,40.2,177,0.175,0.364,0.298,25.1,27.7,24.1,0.223,0.486,0.348,54.3
Berríos, José,621244,94.1,Berríos, José,621244,TOR,FF,4-Seamer,0.7,5,811,26.7,176,0.275,0.537,0.38,21.3,19.9,16.7,0.282,0.551,0.382,44
Bieber, Shane,669456,92.7,Bieber, Shane,669456,CLE,FF,4-Seamer,-0.1,-1,551,35.3,140,0.272,0.48,0.36,22.8,33.6,29.4,0.232,0.422,0.321,56.4
Boyd, Matthew,571510,92,Boyd, Matthew,571510,DET,FF,4-Seamer,-0.4,-2,535,42,147,0.276,0.433,0.347,18,14.3,13.6,0.245,0.451,0.336,42.2
Brubaker, JT,664141,92.9,Brubaker, JT,664141,PIT,FF,4-Seamer,0.1,0,476,24.5,94,0.241,0.506,0.357,18.1,11.7,10.9,0.261,0.495,0.35,38.7
Bubic, Kris,663460,90.9,Bubic, Kris,663460,KC,FF,4-Seamer,-0.6,-7,1144,52,262,0.217,0.355,0.318,20.8,20.6,19.1,0.244,0.412,0.347,39.8
Buehler, Walker,621111,95.3,Buehler, Walker,621111,LAD,FF,4-Seamer,-1.3,-19,1403,44.5,336,0.202,0.366,0.295,20.3,23.8,19.3,0.241,0.424,0.331,45.8
Bumgarner, Madison,518516,90.4,Bumgarner, Madison,518516,ARI,FF,4-Seamer,-0.2,-1,749,32.7,183,0.198,0.395,0.303,17.7,20.2,17.7,0.249,0.477,0.347,40.2
Bundy, Dylan,605164,90.7,Bundy, Dylan,605164,LAA,FF,4-Seamer,0.7,4,522,34.3,136,0.237,0.474,0.368,19.3,19.1,19.7,0.227,0.448,0.348,38.2
Burnes, Corbin,669203,96.4,Burnes, Corbin,669203,MIL,FF,4-Seamer,7.1,3,40,1.5,13,0.462,0.692,0.496,20,15.4,11.8,0.267,0.397,0.288,54.5
Cabrera, Génesis,650893,97.6,Cabrera, Génesis,650893,STL,FF,4-Seamer,-0.4,-2,534,44.7,137,0.165,0.275,0.288,26.6,32.8,24.6,0.189,0.334,0.314,43.9
Castillo, Luis,622491,97.1,Castillo, Luis,622491,CIN,FF,4-Seamer,0.4,4,902,28.5,160,0.257,0.478,0.364,30.5,31.3,20.9,0.205,0.36,0.295,34.1
Cease, Dylan,656302,96.7,Cease, Dylan,656302,CWS,FF,4-Seamer,-0.1,-1,1383,46.8,352,0.264,0.449,0.366,23,19.3,18,0.276,0.503,0.385,46.8
Cishek, Steve,518553,89.7,Cishek, Steve,518553,LAA,FF,4-Seamer,-3,-7,245,19.5,67,0.089,0.143,0.188,37.2,43.3,21.5,0.158,0.27,0.253,37.9
